Name,Scholar ID,Document Count,Cited by,Cited by 5 years,h-index,h-index 5 years,i10-index,i10-index 5 years,Coauthors,Affiliation,Warning
Wolfram Tetzlaff,HgUvr-IAAAAJ,315,24584,7120,80,44,187,118,"{'Tim H. Murphy': 2, 'Peter Cripton': 14, 'Fabio MV Rossi': 1, 'A. Jane Roskams': 9, 'Silke Appel-Cresswell': 1}",Professor and Principal Investigator ICORD (International Collaboration on Repair Discoveries,Affiliation does not match!
Anthony Phillips,cHBZKa4AAAAJ,428,37186,8442,103,41,287,126,"{'Brian MacVicar': 1, 'Shernaz Bamji': 1, 'A Jon Stoessl OR jon Stoessl': 2, 'Vesna Sossi': 2, 'Jeremy K Seamans': 15, 'Yu Tian Wang': 11, 'Todd S. Woodward': 1, 'Catharine A. Winstanley': 1, 'Snutch': 3}",University of British Columbia,
Catharine A. Winstanley,62UFkZcAAAAJ,184,11299,4732,47,38,96,90,"{'Martin J. McKeown': 1, 'A Jon Stoessl OR jon Stoessl': 3, 'Silke Appel-Cresswell': 1, 'Peter Cripton': 1, 'Anthony Phillips': 1, 'Vesna Sossi': 3, 'Jeremy K Seamans': 1}",University of British Columbia,
Yu Tian Wang,oUJOq0EAAAAJ,200,42120,15881,78,56,149,123,"{'Tim H. Murphy': 4, 'Jeffrey LeDue': 2, 'Brian MacVicar': 1, 'Anthony Phillips': 11, 'Jeremy K Seamans': 1, 'Lynn A Raymond': 3, 'Rankin Catharine H': 1}",University of British Columbia,
Jeremy K Seamans,cDn0toMAAAAJ,107,15823,4050,50,34,65,53,"{'Anthony Phillips': 15, 'Yu Tian Wang': 1, 'Catharine A. Winstanley': 1, 'Todd S. Woodward': 1}",University of British Columbia,
Snutch,mTkQFQ8AAAAJ,462,34245,10112,92,44,223,142,"{'Tim H. Murphy': 1, 'Brian MacVicar': 9, 'Jeffrey LeDue': 3, 'Ian Mackenzie': 1, 'Shernaz Bamji': 1, 'Paul Pavlidis': 1, 'A Jon Stoessl OR jon Stoessl': 1, 'Anthony Phillips': 3, 'Rankin Catharine H': 1}",University of British Columbia,
Ian Mackenzie,Hx14DYYAAAAJ,498,59235,25732,103,67,235,194,"{'Brian MacVicar': 1, 'Snutch': 1, 'Fidel Vila-Rodriguez': 1, 'Shernaz Bamji': 1, 'Lynn A Raymond': 3, 'A Jon Stoessl OR jon Stoessl': 6, 'Vesna Sossi': 6}","Division of Neuropathology, Department of Pathology and Lab Medicine, University of British Columbia",
Lynn A Raymond,VyLG_CgAAAAJ,171,19852,6224,75,39,123,100,"{'Tim H. Murphy': 18, 'Shernaz Bamji': 2, 'Ian Mackenzie': 3, 'Yu Tian Wang': 3, 'Jeffrey LeDue': 2}","Professor of Psychiatry, University of British Columbia, Huntington Study Group, Predict-HD",
Kurt Haas,zLPRoXUAAAAJ,74,3714,901,26,17,37,22,"{'Shernaz Bamji': 6, 'Paul Pavlidis': 6, 'Rankin Catharine H': 5}","Full Professor of Neuroscience, University of British Columbia",
Mark S. Cembrowski,f_ILrbMAAAAJ,35,2017,1671,17,16,19,19,"{'Tim H. Murphy': 1, 'Peter Cripton': 1, 'Jeffrey LeDue': 1}","Assistant Professor, University of British Columbia",
Fabio MV Rossi,K1VQtgwAAAAJ,140,17001,6937,55,39,98,79,"{'Brian MacVicar': 1, 'Wolfram Tetzlaff': 1}","Professor of Medical Genetics, University of British Columbia",
A. Jane Roskams,nzIRBZ0AAAAJ,68,6140,994,40,20,51,36,{'Wolfram Tetzlaff': 9},University of British Columbia/Washington,
Rankin Catharine H,KM6fM-MAAAAJ,209,7576,3462,42,30,81,61,"{'Shernaz Bamji': 2, 'Paul Pavlidis': 6, 'Kurt Haas': 5, 'Yu Tian Wang': 1, 'Snutch': 1, 'Liisa Galea': 1}",University of British Columbia,
Michael Gordon,WVStjbgAAAAJ,34,4116,1540,20,16,25,22,,University of British Columbia,
Leonid Sigal,P2mG6rcAAAAJ,229,13410,7026,56,44,122,105,{'Helge Rhodin': 1},"Professor, University of British Columbia",
Z. Jane Wang,W75uTm8AAAAJ,449,13894,9198,56,44,220,172,"{'Fidel Vila-Rodriguez': 1, 'Martin J. McKeown': 72, 'Silke Appel-Cresswell': 4, 'Peyman Servati': 2, 'Helge Rhodin': 1}","Professor of Electrical and Computer Engineering Dept., University of British Columbia, Canada",
Peyman Servati,bl8U3JoAAAAJ,294,9519,4361,44,31,116,68,"{'Martin J. McKeown': 1, 'Z. Jane Wang': 2}","Electrical and Computer Engineering, University of British Columbia",
Liisa Galea,Q--hI3oAAAAJ,297,22468,8808,81,51,173,147,"{'Lara Boyd': 1, 'Rankin Catharine H': 1, 'Sophia Frangou': 1}","Treliving Family Chair in Women's Mental Health, Senior Scientist, Centre for Addiction and Mental",Affiliation does not match!
Sophia Frangou,iRcTmwkAAAAJ,637,26786,11174,87,52,248,201,"{'Fidel Vila-Rodriguez': 6, 'Paul Pavlidis': 1, 'Vesna Sossi': 1, 'Liisa Galea': 1, 'Eric Shea-Brown': 1, 'Anthony Randal McIntosh': 3}",Icahn School of Medicine at Mount SInai,Affiliation does not match!
Silke Appel-Cresswell,OrRZGCQAAAAJ,98,4410,2550,24,21,33,32,"{'Brian MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 1, 'Martin J. McKeown': 33, 'A Jon Stoessl OR jon Stoessl': 25, 'Vesna Sossi': 15, 'Z. Jane Wang': 4, 'Catharine A. Winstanley': 1, 'Wolfram Tetzlaff': 1}","Associate Professor, University of British Columbia",
Helge Rhodin,2maWWboAAAAJ,83,4666,4479,26,25,37,37,"{'Tim H. Murphy': 2, 'Jeffrey LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 1}",Assistant Professor at UBC,
Manu S Madhav,OzV0TFoAAAAJ,27,416,310,9,8,9,8,,"Assistant Professor, University of British Columbia",
Brian D. Fisher,1NGZwzoAAAAJ,187,3542,1441,31,20,52,32,{'Martin J. McKeown': 1},"Professor of Interactive Arts and Technology, Simon Fraser University",
Leigh Anne Swayne,6N7x3_wAAAAJ,65,2039,1083,27,21,43,33,"{'Brian MacVicar': 1, 'Craig E. Brown': 1}","Professor, University of Victoria",
Craig E. Brown,JpTDgvYAAAAJ,39,2965,1342,23,19,31,23,"{'Tim H. Murphy': 6, 'Leigh Anne Swayne': 1}","University of Victoria, University of British Columbia",
Adrienne Fairhall,Qd2_0VkAAAAJ,119,5933,2834,37,24,58,47,{'Eric Shea-Brown': 3},"Professor of Physiology and Biophysics, University of Washington",
Eric Shea-Brown,GyvbrjcAAAAJ,197,7881,3749,41,31,78,62,"{'Sophia Frangou': 1, 'Adrienne Fairhall': 3}","Applied Mathematics, University of Washington",
Emily Sylwestrak,gKtP4d4AAAAJ,16,1877,1355,10,10,10,10,,University of Oregon,Affiliation does not match!
Andy Y. Shih,NcqRyesAAAAJ,86,8038,4587,40,35,59,54,{'Tim H. Murphy': 9},Seattle Children's Research Institute & University of Washington,
Todd S. Woodward,72W33RkAAAAJ,296,13835,6028,66,40,162,126,"{'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 3, 'Anthony Phillips': 1, 'Jeremy K Seamans': 1, 'Vesna Sossi': 1}","Professor, University of British Columbia",
Jeffrey LeDue,1ffeRR4AAAAJ,71,2628,1914,27,24,38,34,"{'Tim H. Murphy': 40, 'Brian MacVicar': 13, 'Yu Tian Wang': 2, 'Helge Rhodin': 1, 'Peter Cripton': 1, 'Mark S. Cembrowski': 1, 'Snutch': 3, 'Lynn A Raymond': 2}",University of British Columbia,
Ilker Hacihaliloglu,dA7G64kAAAAJ,115,2606,2157,24,20,48,40,{'Purang Abolmaesumi': 11},"Department of Radiology, Department of Medicine, University of British Columbia",
Anthony Randal McIntosh,Ep3N640AAAAJ,474,47899,16263,111,66,275,202,{'Sophia Frangou': 3},"Professor, Simon Fraser University",
Purang Abolmaesumi,gKZS5-IAAAAJ,462,9860,5510,50,39,213,139,{'Ilker Hacihaliloglu': 11},"Department of Electrical and Computer Engineering, University of British Columbia, V6T 1Z4",
Vesna Sossi,5VQTWXgAAAAJ,500,18364,7334,61,43,188,134,"{'Lara Boyd': 2, 'Martin J. McKeown': 21, 'A Jon Stoessl OR jon Stoessl': 134, 'Silke Appel-Cresswell': 15, 'Paul Pavlidis': 1, 'Sophia Frangou': 1, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Catharine A. Winstanley': 3, 'Todd S. Woodward': 1}",Unknown affiliation,Affiliation does not match!
