Name,Author ID,Cited by,Document Count,Coauthors,Affiliation
Silke Appel-Cresswell,36237882900,2909,46,"{'Brian A. MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara A. Boyd': 1, 'Martin McKeown': 14, 'A. Jon Stoessl': 14, 'Vesna Sossi': 6, 'Z. Jane Wang': 2}",Djavad Mowafaghian Centre for Brain Health
Helge Rhodin,55860139200,2297,52,"{'Timothy H. Murphy': 2, 'Jeffrey M. LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 2}",The University of British Columbia
Manu S. Madhav,35146488900,239,13,,Biomedical Engineering
Brian Fisher,56363838400,1488,96,"{'Z. Jane Wang': 1, 'Liisa A. M. Galea': 1, 'Purang Abolmaesumi': 2}",Simon Fraser University
Leigh Anne Swayne,7004454250,1349,53,"{'Brian A. MacVicar': 1, 'Craig E. Brown': 1}",Division of Medical Sciences
Craig E. Brown,7408311558,2024,38,"{'Timothy H. Murphy': 6, 'Leigh Anne Swayne': 1}",Department of Psychiatry
Adrienne L. Fairhall,6602928622,3823,69,{'Eric T. Shea-Brown': 3},University of Washington
Eric T. Shea-Brown,15065850600,4264,82,{'Adrienne L. Fairhall': 3},Department of Applied Mathematics
Emily Lauren Sylwestrak,26634611400,1308,10,,Department of Biology
Andy Y. Shih,9239638800,5640,73,{'Timothy H. Murphy': 9},Department of Pediatrics
Todd Stephen Woodward,7102848867,8433,184,"{'Lara A. Boyd': 2, 'Anthony G. Phillips': 1, 'Jeremy Keith Seamans': 1, 'Vesna Sossi': 1}","University of British Columbia, Faculty of Medicine"
Jeffrey M. LeDue,56371437500,1666,37,"{'Timothy H. Murphy': 25, 'Helge Rhodin': 1, 'Brian A. MacVicar': 10, 'YuTian Wang': 3, 'Terrance P. Snutch': 2, 'Paul Pavlidis': 1, 'Lynn A. Raymond': 1}",Djavad Mowafaghian Centre for Brain Health
Ilker Hacihaliloglu,24467768400,1308,70,{'Purang Abolmaesumi': 11},Department of Medicine
Anthony Randal McIntosh,35465675000,28468,297,,Institute for Neuroscience and Neurotechnology
Purang Abolmaesumi,6602170125,6020,358,"{'Z. Jane Wang': 1, 'Liisa A. M. Galea': 1, 'Brian Fisher': 2, 'Ilker Hacihaliloglu': 11}",Department of Electrical & Computer Engineering
Vesna Sossi,56276238300,13625,334,"{'Lara A. Boyd': 1, 'Martin McKeown': 11, 'A. Jon Stoessl': 73, 'Silke Appel-Cresswell': 6, 'Ian Mackenzie': 2, 'Anthony G. Phillips': 2, 'Catharine A. Winstanley': 1, 'Todd Stephen Woodward': 1}",Department of Physics and Astronomy
