sep=|
Name|Name on Profile|Scholar ID|Document Count|Cited by|Cited by 5 years|h-index|h-index 5 years|i10-index|i10-index 5 years|Coauthors|Affiliation|Warning|
Kurt Haas|Kurt Haas|zLPRoXUAAAAJ|74|3773|805|26|16|38|20|{'Shernaz Bamji': 6, 'Paul Pavlidis': 6, 'Catharine Rankin': 5}|Full Professor of Neuroscience, University of British Columbia||
Mark Cembrowski|Mark S. Cembrowski|f_ILrbMAAAAJ|35|2101|1552|17|17|19|17|{'Tim H. Murphy': 1, 'Peter Cripton': 1, 'Jeffrey LeDue': 1}|Assistant Professor, University of British Columbia||
Fabio Rossi|Fabio MV Rossi|K1VQtgwAAAAJ|140|17313|6201|56|37|99|74|{'Brian MacVicar': 1, 'Wolfram Tetzlaff': 1}|Professor of Medical Genetics, University of British Columbia||
Jane Roskams|A. Jane Roskams|nzIRBZ0AAAAJ|68|6170|803|40|17|51|32|{'Wolfram Tetzlaff': 9}|University of British Columbia/Washington||
Catharine Rankin|Rankin Catharine H|KM6fM-MAAAAJ|209|7709|3094|43|27|81|57|{'Shernaz Bamji': 2, 'Paul Pavlidis': 6, 'Kurt Haas': 5, 'Yu Tian Wang': 1, 'Terry Snutch': 1, 'Liisa Galea': 1}|University of British Columbia||
Michael Gordon|Michael Gordon|WVStjbgAAAAJ|34|4178|1379|20|16|25|21||University of British Columbia||
Leonid Sigal|Leonid Sigal|P2mG6rcAAAAJ|237|13823|6602|57|43|125|102|{'Helge Rhodin': 1}|Professor, University of British Columbia||
Z. Jane Wang|Z. Jane Wang|W75uTm8AAAAJ|454|14387|8813|57|43|225|168|{'Fidel Vila-Rodriguez': 1, 'Martin McKeown': 74, 'Silke Cresswell': 4, 'Peyman Servati': 2, 'Helge Rhodin': 1}|Professor of Electrical and Computer Engineering Dept., University of British Columbia, Canada||
Peyman Servati|Peyman Servati|bl8U3JoAAAAJ|295|9700|3662|45|30|117|66|{'Martin McKeown': 1, 'Z. Jane Wang': 2}|Electrical and Computer Engineering, University of British Columbia||
Liisa Galea|Liisa Galea|Q--hI3oAAAAJ|299|22837|7977|81|48|177|148|{'Lara Boyd': 1, 'Catharine Rankin': 1, 'Sophia Frangou': 1}|Treliving Family Chair in Women's Mental Health, Senior Scientist, Centre for Addiction and Mental||
Sophia Frangou|Sophia Frangou|iRcTmwkAAAAJ|640|27758|10069|88|52|251|197|{'Fidel Vila-Rodriguez': 6, 'Paul Pavlidis': 1, 'Vesna Sossi': 1, 'Liisa Galea': 1, 'Eric Shea-Brown': 1, 'Randy Mcintosh': 3}|Icahn School of Medicine at Mount SInai||
Silke Cresswell|Silke Appel-Cresswell|OrRZGCQAAAAJ|99|4523|2284|24|19|34|31|{'Brian MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 1, 'Martin McKeown': 33, 'A Jon Stoessl': 25, 'Vesna Sossi': 15, 'Z. Jane Wang': 4, 'Catharine Winstanley': 1, 'Wolfram Tetzlaff': 1}|Associate Professor, University of British Columbia||
Helge Rhodin|Helge Rhodin|2maWWboAAAAJ|85|5018|4561|26|25|39|39|{'Tim H. Murphy': 3, 'Jeffrey LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 1}|Assistant Professor at UBC||
Manu Madhav|Manu S Madhav|OzV0TFoAAAAJ|28|442|312|9|9|9|8||Assistant Professor, University of British Columbia||
Brian D. Fisher|Brian D. Fisher|1NGZwzoAAAAJ|192|3612|1244|31|19|52|30|{'Martin McKeown': 1}|Professor of Interactive Arts and Technology, Simon Fraser University||
Leigh Anne Swayne|Leigh Anne Swayne|6N7x3_wAAAAJ|66|2093|985|27|20|44|33|{'Brian MacVicar': 1, 'Craig E. Brown': 1}|Professor, University of Victoria||
Craig E. Brown|Craig E. Brown|JpTDgvYAAAAJ|39|3036|1170|23|19|31|23|{'Tim H. Murphy': 6, 'Leigh Anne Swayne': 1}|University of Victoria, University of British Columbia||
Adrienne Fairhall|Adrienne Fairhall|Qd2_0VkAAAAJ|121|6070|2576|37|24|59|47|{'Eric Shea-Brown': 3}|Professor of Physiology and Biophysics, University of Washington||
Eric Shea-Brown|Eric Shea-Brown|GyvbrjcAAAAJ|199|8037|3360|41|28|78|60|{'Sophia Frangou': 1, 'Adrienne Fairhall': 3}|Applied Mathematics, University of Washington||
Emily Sylwestrak|Emily Sylwestrak|gKtP4d4AAAAJ|17|1955|1315|10|9|10|9||University of Oregon|Affiliation does not match!|
Andy Shih|Andy Y. Shih|NcqRyesAAAAJ|88|8240|4209|42|35|59|53|{'Tim H. Murphy': 9}|Seattle Children's Research Institute & University of Washington||
Todd Woodward|Todd S. Woodward|72W33RkAAAAJ|297|14047|5152|66|36|163|119|{'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 3, 'Anthony Phillips': 1, 'Jeremy Seamans': 1, 'Vesna Sossi': 1}|Professor, University of British Columbia||
Jeffrey LeDue|Jeffrey LeDue|1ffeRR4AAAAJ|72|2707|1711|27|24|38|33|{'Tim H. Murphy': 41, 'Brian MacVicar': 13, 'Yu Tian Wang': 2, 'Helge Rhodin': 1, 'Peter Cripton': 1, 'Mark Cembrowski': 1, 'Terry Snutch': 3, 'Lynn Raymond': 2}|University of British Columbia||
Ilker Hacihaliloglu|Ilker Hacihaliloglu|dA7G64kAAAAJ|117|2831|2244|25|20|48|38|{'Purang Abolmaesumi': 11}|Department of Radiology, Department of Medicine, University of British Columbia||
Randy Mcintosh|Anthony Randal McIntosh|Ep3N640AAAAJ|476|48560|14019|111|61|278|195|{'Sophia Frangou': 3}|Professor, Simon Fraser University||
Purang Abolmaesumi|Purang Abolmaesumi|gKZS5-IAAAAJ|463|10081|5067|50|35|215|124|{'Ilker Hacihaliloglu': 11}|Department of Electrical and Computer Engineering, University of British Columbia, V6T 1Z4||
Vesna Sossi|Vesna Sossi|5VQTWXgAAAAJ|510|18617|6407|61|40|189|118|{'Lara Boyd': 2, 'Martin McKeown': 21, 'A Jon Stoessl': 135, 'Silke Cresswell': 15, 'Paul Pavlidis': 1, 'Sophia Frangou': 1, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Catharine Winstanley': 3, 'Todd Woodward': 1}|Unknown affiliation||
